	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
1130	@tinkoff_bank А мадам в кресле похожа на профессиональную интимную помощницу бизнесмена :)		1.0670228415840174e+18	cap_nemo	Mon Nov 26 11:50:44 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543233044.0		
1131	@tinkoff_bank Ну приблизительно так https://t.co/61ZYkHoRZR		1.0670226307237437e+18	cap_nemo	Mon Nov 26 11:49:54 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543232994.0		
1132	@mahnunchik Тип операции мы определяем в зависимости от МСС-кода, который при оплате нам передает банк-эквайер, обс… https://t.co/dV41tBU3hh		1.0670218135307469e+18	tinkoff_bank	Mon Nov 26 11:46:39 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543232799.0		
1133	@Leshiy73 @vtb ИД - почтовый идентификатор имели в виду. Точное время отправки не подскажем, по 22 числа документ подготовили, да.		1.0670214293157233e+18	tinkoff_bank	Mon Nov 26 11:45:07 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543232707.0		
1134	"@cap_nemo А как должна выглядеть тру бизнесвумен? :)
На наш взгляд на фото очень даже подходит."		1.0670209289183928e+18	tinkoff_bank	Mon Nov 26 11:43:08 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543232588.0		
1135	@tinkoff_bank Иными словами конверт был передан почте уже 22 числа? (Не совсем понятно, что такое ИД) А то очень не… https://t.co/pqcOTnE2im		1.0670198590311342e+18	Leshiy73	Mon Nov 26 11:38:53 +0000 2018	[]	0.0	"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>"	0.0	0.0	1543232333.0		
1136	@tinkoff_bank давно покупка открыточек на польской почте стала операцией в кредитной организации? https://t.co/YD3yxfzKLk		1.067019314388181e+18	mahnunchik	Mon Nov 26 11:36:43 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543232203.0		
1137	@Leshiy73 Документ подготовили и направили 22.11.2018. ИД пока что нет, попробуем ускорить процесс.		1.067018491310551e+18	tinkoff_bank	Mon Nov 26 11:33:27 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543232007.0		
1138	@tinkoff_bank Непроверенные фото используете :). На бизнесвумен она не похожа :)		1.0670174535810826e+18	cap_nemo	Mon Nov 26 11:29:19 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543231759.0		
1139	.@tinkoff_bank а сколько вам нужно времени, чтобы отправить бумажную справку о состоянии счёта? Раньше, вроде ,быст… https://t.co/MSvGu5aiK2		1.0670170972623503e+18	Leshiy73	Mon Nov 26 11:27:54 +0000 2018	[]	0.0	"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>"	0.0	0.0	1543231674.0		
1140	@tinkoff_bank Что за бизнес у мадам в кресле?		1.067015736479105e+18	cap_nemo	Mon Nov 26 11:22:30 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543231350.0		
1141	@tinkoff_bank обязательно, всегда так и делаю :3		1.0670104628716216e+18	Borsugg	Mon Nov 26 11:01:33 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543230093.0		
1142	"@Borsugg Уверены, не разочарует :)
Если возникнут какие-то вопросы по условиям продукта, смело обращайтесь к нам."		1.0670098398371348e+18	tinkoff_bank	Mon Nov 26 10:59:04 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1.0	0.0	1543229944.0		
1143	@tinkoff_bank Вот, вам потребовалось существенно меньше часа. Сделайте, что-нибудь с чатом, пожалуйста, чтобы они тоже так могли :/		1.0670087100175237e+18	kirelagin	Mon Nov 26 10:54:35 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543229675.0		
1144	@kirelagin Все так! :)		1.0670071278547395e+18	tinkoff_bank	Mon Nov 26 10:48:17 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543229297.0		
1145	спЛюдям в чате потребовлся ровно час, чтобы узнать, зачем мне звонили из Тинькофф банка час назад. Надо было, конеч… https://t.co/iMhbM0sFL5		1.067006852528001e+18	kirelagin	Mon Nov 26 10:47:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543229232.0		
1146	@chronosms1 @tinkoff_bank Да, у меня жена тоже подумывает об их карточке.		1.0670050123484201e+18	serenitatis	Mon Nov 26 10:39:53 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543228793.0		
1147	"@adelkharisov @azat166 Вот здесь финансовая отчетность:
https://t.co/CGwKx4LW3A"		1.0670043900185682e+18	tinkoff_bank	Mon Nov 26 10:37:25 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543228645.0		
